"experiment","model","beta","se","p_one_sided","ci_lo","ci_hi","n","sd_pair","degenerate"
"elephant","mistral",1.71068410894091,0.562182433505252,0.99882858191404,0.608826786529535,2.81254143135229,100,16.9140435955618,TRUE
"elephant","mistral",0.449704624198967,0.109554314761207,0.999979771609978,0.234982112916037,0.664427135481897,1591,14.4046338812113,TRUE
"elephant","mistral",0.276155552497263,0.0951335873744271,0.998150896447892,0.0896971475232915,0.462613957471234,1591,11.8110949297931,TRUE
